MARCHE,CLT AGE,PROFESSION,CLT PUB/PRIV,NATIONALITE,RES,CLT CATEGORIE,PTF,TYPE PTF,SEGMENT,SOUS_SEG,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,ENC DEBIT,PD,TOT DES CREDITS,CLASSE DE RISQUE,PRIME_ASSURANCE
PART,55,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,5803,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,788,1258.986,0,0,3268.938,-143.352,0.03,3125.586,0,42.195411
PART,42,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1468,1899.772,0,0,49374.099,-1439.897,0.03,47934.202,0,647.111727
PART,58,Autres cadres sup√©rieurs,PRIVE,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,6300,6367.974,13100.875,0,7512.567,0,0.03,7512.567,0,101.4196545
PART,41,Autres cadres sup√©rieurs,PUBLIC,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1780,2191.96,423.128,0,32009.368,0,0.03,32009.368,0,432.126468
PART,63,Retrait√©s,PUBLIC,TUNISIA,TUNISIA,7000,5803,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1821.457,1992.05,1603.873,3288.485,12160.911,0,0.03,15449.396,0,208.566846
PART,39,Plombiers,PRIVE,TUNISIA,TUNISIA,7000,5604,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,,8212.172,8775.852,0,46202.751,0,0.03,46202.751,0,623.7371385
PART,56,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,1656,9102.383,1537.73,16510.863,37260.715,-439.721,0.03,53331.857,0,719.9800695
PART,59,Autres cadres sup√©rieurs,PRIVE,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,3864.666,6787.055,639.905,0,60499.604,-2623.226,0.03,57876.378,0,781.331103
PART,39,Dirigeants et g√©rants dans les services,PRIVE,TUNISIA,TUNISIA,7000,3893,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2629,8103.154,6943.479,15179.576,6910.399,0,0.03,22089.975,0,298.2146625
PRO,50,Commer√ßants (autres),PRIVE,TUNISIA,TUNISIA,7000,5803,AUX,CLASSE MOYENNE,3 CM - PRO,2500,2153.572,4936.204,34956.856,56028.284,-2764.341,0.03,88220.799,0,1190.980787
PART,58,Directeurs d'entreprises,PRIVE,TUNISIA,TUNISIA,7000,2820,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,2500,25955.839,10433.89,43043.296,137556.612,0,0.03,180599.908,0,2438.098758
TRE,47,Autres cadres sup√©rieurs,PRIVE,TUNISIA,GERMANY,7150,3078,PRINCIPAL,TRE,1 TRE - HG,15000,200027.2043,480702.6266,0,706941.843,0,0.03,706941.843,0,9543.714881
PRO,46,Commer√ßants (autres),N_D,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,2000,6200.292,0,0,83997.628,-1887.622,0.03,82110.006,0,1108.485081
PART,35,Chauffeurs de taxis et conducteurs d'automobiles et de camionnettes,PRIVE,TUNISIA,TUNISIA,7000,5699,PRINCIPAL,GRAND PUBLIC,1 GP - ACTIFS,1000,543.956,103.02,0,12906.527,-939.542,0.03,11966.985,0,161.5542975
PART,52,"Agents d'accueil, de s√©curit√© et de nettoyage",PUBLIC,TUNISIA,TUNISIA,7000,6164,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,840,1198.208,536.677,0,11276.991,-16.517,0.03,11260.474,0,152.016399
PART,47,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,3078,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,3341,7153.21,0,25369.681,153499.258,-8545.832,0.03,170323.107,0,2299.361945
PRO,43,Artisans du cuir et de la chaussure,N_D,TUNISIA,TUNISIA,6000,,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,2000,7669.165,24996.351,32542.044,63629.735,-2601.292,0.03,93570.487,0,1263.201575
PART,41,Enseignants de l'enseignement primaire,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1888,1911.725,0,4497.586,18296.475,-34.609,0.03,22759.452,0,307.252602
TRE,35,"Dirigeants et g√©rants dans le tourisme, la restauration et l'hotellerie",PRIVE,TUNISIA,FRANCE,7150,3639,PRINCIPAL,TRE,1 TRE - HG,15000,1813.186,0.103,0,22792.645,-1085.496,0.03,21707.149,0,293.0465115
PRO,37,"Commer√ßants dans l'ameublement, appareils √©lectro m√©nager et assimil√©s",PRIVE,TUNISIA,TUNISIA,7000,5702,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,7000,4286.813,12405.567,0,67700.131,-1603.992,0.03,66096.139,0,892.2978765
PRO,34,Commer√ßants dans l'alimentation g√©n√©rale,N_D,TUNISIA,TUNISIA,6000,2819,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,5000,76272.651,18591.87,31328.973,237835.526,-109522.895,0.03,159641.604,0,2155.161654
PRO,52,Artisans (autres),N_D,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,2400,4463.545,13338.447,20362.269,12034.336,-3051.838,0.03,29344.767,0,396.1543545
